magazine|brand|category|title|link|date|contents|title_brand
Daum_Bazaar|Je|FASHION|머플러 하나로 달라지는 스타일! 제니, 수지, 장희령처럼!|https://www.harpersbazaar.co.kr/article/50385|2020.11.27|['블랙핑크 제니', '겨울철 자칫 칙칙할 수 있는 스타일에 활기를 더해주는 머플러!', ' 제니처럼 니트 카디건에 클래식한 체크 패턴의 머플러를 무심하게 툭 매치해보자.', ' 매해 F/W 시즌 빠질 수 없는 체크는 클래식한 무드를 자아내는 일등 공신이기도. 보온성은 물론 겨울철 한층 더 분위기 있는 무드를 연출할 수 있다.']|1
Daum_Bazaar|Je|BEAUTY|화사, 제니가 선택한 네일 디자인은?|https://www.harpersbazaar.co.kr/article/47899|2020.07.28|['올여름엔 네일 디자인을 고르기 전 모양을 먼저 선택해야 할 듯.', '오벌, 라운드, 스퀘어 정도로 정의되던 기존과 달리 다양한 손톱 모양이 인기를 끌고 있다.', '발레리나 토슈즈를 담은 코핀 네일, 스틸레토 하이힐처럼 아찔한 스틸레토 네일, 립스틱과 닮은 사선 모양의 립스틱 네일까지.', ' 공통점은 모두 원래 손톱보다 길게 보디를 연장해 연출하는 것.', ' 화사, 제니 등 핫한 셀럽은 물론 런웨이에서도 눈에 띄는 아찔한 형태의 네일로 색다른 분위기를 연출해볼 것.']|1
Daum_Bazaar|Je|CELEBRITY|벚꽃보다, 제니!|https://www.harpersbazaar.co.kr/article/45547|2020.03.24|['봄의 시작인 3월에 만난 제니는 벚꽃보다 더 아름답고 풍부한 매력을 발산했다.', ' 촬영 당일 화장기 하나 없는 맑은 얼굴로 수줍게 인사를 건네며 스튜디오에 들어선 제니.', ' 두 가지 상반되는 컨셉으로 연출한 후 카메라 앞에 선 제니는 소녀와 숙녀를 넘나드는 다채로운 모습을 보여주었다.', ' 수줍게 미소 지었다가 때론 카리스마 넘치는 당당한 애티듀드로 지면을 장악했다.', ' 이번 화보는 샤넬의 앰버서더로서 함께 했다.', ' 누벨바그 시대에서 영감을 받은 2020 S/S 컬렉션을 완벽하게 소화하며 스텝들의 찬사를 받았다.']|1
Daum_Bazaar|Je|CELEBRITY|얼굴 소멸각! 셀럽들의 모자 스타일링 대방출!|https://www.harpersbazaar.co.kr/article/49651|2020.10.23|['이마는 꼭 1/3 이상 감춰주세요!', 'Lovesick Girls 무대에서 블랙 베레모를 완벽하게 소화하며 힙걸로 변신한 제니,', ' 이들의 공통점은? 소위 정석이라 불리는 방법으로 베레모 스타일을 연출한 것.', '쿨한 인상을 주고 싶다면 이들처럼 한쪽 모발은 귀 뒤로 완전히 넘긴 채 베레모를 이마 앞쪽으로 바짝 당겨 사선으로 써보자.', ' 이때, 이마나 구레나룻 쪽 잔머리가 지저분하게 나오지 않도록 실핀으로 고정하거나 헤어스프레이를 가볍게 뿌려 정돈해 주어야 전체적으로 깔끔해 보이는 스타일을 완성할 수 있다.']|0
Daum_Bazaar|Je|ART&CULTURE|예뻐도 너무 예쁜 제니의 옷장|https://www.harpersbazaar.co.kr/article/39305|2018.06.25|['샤넬, 구찌, 생 로랑, 발렌시아가 등 수많은 패션 하우스들의 사랑을 받고 있는 블랙핑크 제니가 개인 인스타그램 계정을 오픈하고 데일리 룩을 업로드 중이다.', ' 화려한 그녀의 사복 패션은 어떨까?', 'JENNIE dress 몸매가 드러나는 미니 드레스를 착용한 제니. 단조로운 디자인 보다는 군더더기 없는 실루엣에 트위드 소재나 패턴이 있는 미니 드레스로 사랑스럽게 연출했다.', 'LOVELY girl 포카리 걸이 생각나는 시폰 소재의 여성스러운 드레스나 오프 숄더로 청순한 매력까지 더한 제니.', ' 긴 생머리와 레이스, 러플 디테일이 더해진 아이템과 크리스털 장식 주얼리까지 더하면 여성스러운 제니 변신 완료!', 'CHECK lover 제니가 클래식한 체크 패턴 룩을 입는 방법?', '캐주얼한 톱과 디스트로이드 진에 체크 패턴 재킷을 착용해 드레스 업 하거나 튜브 톱 드레스로 클래식하면서도 여성스럽게 착용하는 것.', '여기에 제니처럼 길이가 다른 네크리스를 레이어드 하는 센스를 발휘해 볼 것!', 'ACT cool! 스포티한 룩도 본인만의 스타일로 연출하는 제니!', '슬릿 디테일의 트레이닝 팬츠로 섹시함을 더하거나 짧은 쇼트에 삭스와 스니커즈로 귀엽게 연출해도 좋겠다.']|1
Daum_Bazaar|Je|FASHION|인간명품 블랙핑크 제니의 화려한 SOLO|https://www.harpersbazaar.co.kr/article/39710|2018.11.14|"['11월 12일 오후 6시, 독보적인 매력과 뛰어난 실력으로 전 세계 브랜드들의 사랑을 한 몸에 받고 있는 블랙핑크 제니가 솔로 데뷔 곡 ‘SOLO’로 복귀했다.', '#인간구찌, #인간샤넬 등 걸어 다니는 명품으로 불리우며 노래면 노래, 랩이면 랩 못하는게 없는 완벽한 제니의 솔로 데뷔 곡 ""SOLO"".', '발매와 동시에 국내는 물론 전 세계적으로 뜨거운 관심을 받고 있다.', '곡만큼이나 핫 이슈로 떠오르고 있는 ""SOLO"" 뮤직비디오! ', '화려한 영상미와 제니만의 독보적인 아름다움을 담아내 팬들은 물론 팬이 아닌 사람들까지 그녀에게 매료되었다고.', '많은 관심 속 새롭게 이슈가 되고 있는 제니의 뮤비 속 스타일링!', '제니를 더욱 돋보이게 했던 뮤비 속 스타일링을 지금바로 파헤쳐보자.']"|1
Daum_Bazaar|Je|FASHION|지금 아니면 입을 수 없는 꿀조합|https://www.harpersbazaar.co.kr/article/48941|2020.09.21|['로고가 돋보이는 오버사이즈 티셔츠에 하의실종 룩을 선보인 블랙핑크 제니.', '짧은 쇼츠를 가리는 낙낙한 실루엣의 톱으로 원피스처럼 연출한 것.', ' 여기에 무릎 위까지 오는 니삭스로 90년대 감성을 더한 것도 제니만의 포인트.']|0
Daum_Bazaar|Je|CELEBRITY|SNS에서 화제 되는 제니 영상! 실물 후기|https://www.harpersbazaar.co.kr/article/40053|2019.04.05|['CHANEL IN SEOUL. 샤넬 퍼렐 캡슐 컬렉션 오프닝을 기념해 샤넬 서울 플래그십 스토어를 방문한 블랙핑크 제니.', '걸어 다니는 인형! 남다른 미모로 시선을  한몸에 받았다.', '또한 이를 기념해, 한국을 방문한 퍼렐 윌리엄스와 함께 파티 공연까지!', '<바자>가 생생하게 담은 뜨거운 현장을 감상해보자.']|1
Daum_Bazaar|Je|FASHION|가을은 아묻따! 체크의 계절|https://www.harpersbazaar.co.kr/article/48902|2020.09.18|['한편 국내 셀러브리티들의 공통점은? 바로 블루 체크다. 사랑스러운 분위기를 연출하고 싶다면 제니의 스타일링을 참고하자.', '러플 디테일의 체크 재킷을 선택하고 헤어 밴드와 같은 액세서리까지 더하면 금상첨화!']|0
Daum_Bazaar|Je|BEAUTY|요즘 나만 빼고 다 한다는 투톤 브릿지 헤어!|https://www.harpersbazaar.co.kr/article/48057|2020.08.05|['제니가 제니 했다! ', '블랙핑크 선공개 타이틀 곡〈How You Like That〉을 공개와 동시에 큰 이슈를 모은 것은? ', '바로 제니의 투톤 브릿지 헤어 스타일.', ' 앞머리 부분을 금발로 염색한 후, 반 묶음 헤어스타일을 연출한 제니.', '올블랙에 반 묶음 헤어스타일을 연출했다면 어땠을까.', '아마 단정한 무드로 그쳤을 것.', '하지만 금발 컬러 포인트에 블랙 리본 헤어 액세서리를 더 해 오묘하면서 힙한 분위기를 배가시켰다.']|0
